Channel,Red,Green,Blue
x,1,8,10
x,2,10,13
x,3,18,23
x,3,18,23
x,3,17,21
x,2,13,17
x,1,11,15
x,1,9,11
x,1,6,8
x,1,4,5
x,1,3,4
x,1,10,13
x,1,19,23
x,1,17,22
x,1,20,25
x,3,24,28
x,5,25,28
x,8,27,32
x,9,29,35
x,8,31,35
x,7,30,34
x,6,30,35
x,4,27,32
x,4,26,29
x,5,24,27
x,6,21,23
x,2,9,11
x,1,7,8
x,1,14,15
x,1,17,18
x,1,19,22
x,1,23,26
x,2,25,30
x,4,28,33
x,9,31,35
x,13,33,36
x,14,33,35
x,14,32,35
x,13,32,36
x,11,33,36
x,9,35,39
x,9,36,40
x,8,38,42
x,13,40,44
x,15,40,42
x,7,24,25
x,3,12,14
x,1,5,6
x,32,35,34
x,38,38,38
x,39,39,39
x,38,38,34
x,40,40,36
x,42,42,38
x,41,41,37
x,1,4,4
x,2,10,12
x,2,15,17
x,2,17,19
x,1,23,27
x,5,28,33
x,9,31,37
x,14,34,38
x,16,34,37
x,15,33,35
x,15,31,33
x,12,28,31
x,8,27,29
x,6,28,30
x,6,31,33
x,10,36,38
x,14,42,44
x,16,41,44
x,15,38,41
x,11,32,36
x,8,25,29
x,2,9,11
x,1,2,3
x,56,60,55
x,58,59,55
x,55,56,52
x,54,55,51
x,53,54,50
x,55,56,52
x,55,56,52
x,55,56,52
x,31,34,33
x,32,35,34
x,31,34,33
x,32,35,34
x,36,36,36
x,34,34,34
x,32,33,29
x,36,37,33
x,38,38,34
x,37,37,33
x,37,37,33
x,37,37,33
x,40,37,34
x,1,3,3
x,2,8,9
x,2,14,16
x,2,16,19
x,1,16,18
x,2,19,20
x,5,24,26
x,9,30,33
x,12,33,36
x,13,33,36
x,12,29,31
x,8,24,26
x,9,22,24
x,6,19,20
x,2,17,17
x,1,18,19
x,2,23,23
x,7,31,31
x,13,38,38
x,16,41,43
x,18,43,46
x,18,45,50
x,16,40,46
x,11,31,36
x,4,18,21
x,1,4,5
x,52,56,51
x,50,54,49
x,48,52,47
x,46,50,45
x,51,52,48
x,47,48,44
x,46,47,43
x,47,48,44
x,50,51,47
x,51,52,48
x,53,54,50
x,55,56,52
x,57,58,54
x,57,58,54
x,30,29,29
x,30,29,29
x,33,33,33
x,33,33,33
x,32,32,32
x,31,31,31
x,32,33,29
x,30,31,27
x,31,32,28
x,32,33,29
x,34,34,30
x,31,31,27
x,32,32,28
x,34,34,30
x,35,35,31
x,35,35,31
x,35,35,31
x,1,4,5
x,3,12,14
x,3,17,20
x,2,17,20
x,1,16,18
x,2,17,19
x,6,24,25
x,11,30,30
x,12,31,32
x,7,25,27
x,3,18,21
x,1,12,14
x,1,11,12
x,1,11,10
x,4,23,20
x,9,33,31
x,14,40,40
x,17,44,46
x,21,48,52
x,21,47,53
x,18,45,50
x,12,35,39
x,9,24,27
x,3,10,12
x,49,53,48
x,41,42,38
x,37,38,34
x,38,39,35
x,34,35,31
x,38,38,38
x,39,39,39
x,39,40,36
x,40,41,37
x,43,44,40
x,45,46,42
x,47,48,44
x,46,47,43
x,54,55,51
x,59,60,56
x,55,59,54
x,17,16,16
x,19,18,18
x,25,24,24
x,32,31,31
x,30,29,29
x,30,31,27
x,27,28,24
x,29,30,26
x,29,30,26
x,29,30,26
x,29,30,26
x,29,30,26
x,27,28,24
x,30,30,24
x,30,30,24
x,31,31,25
x,32,32,26
x,28,28,24
x,31,31,27
