Channel,Red,Green,Blue
b,57,110,139
b,48,123,158
b,55,130,165
b,39,133,178
b,40,134,179
b,41,140,185
b,35,134,179
b,40,132,175
b,22,114,157
b,61,119,147
b,43,136,172
b,41,134,170
b,23,136,183
b,20,133,180
b,9,135,192
b,12,138,195
b,13,139,198
b,21,147,206
b,30,154,213
b,28,152,211
b,45,151,203
b,36,142,194
b,3,137,195
b,12,146,204
b,14,166,232
b,9,161,227
b,9,169,234
b,9,169,234
b,6,161,228
b,7,162,229
b,4,135,194
b,67,120,149
b,28,125,164
b,25,122,161
b,6,130,176
b,8,132,178
b,3,134,191
b,6,137,194
b,3,137,202
b,6,140,205
b,5,141,210
b,8,144,213
b,10,149,224
b,10,149,224
b,13,149,225
b,15,151,227
b,39,153,218
b,39,153,218
b,16,157,224
b,23,164,231
b,11,177,245
b,19,185,253
b,12,190,252
b,11,189,251
b,11,195,252
b,10,194,251
b,10,194,249
b,8,192,247
b,6,178,239
b,2,174,235
b,8,157,219
b,55,102,129
b,26,117,156
b,26,117,156
b,4,125,172
b,5,126,173
b,1,139,205
b,5,143,209
b,3,145,219
b,7,149,223
b,6,149,231
b,8,151,233
b,15,156,237
b,21,162,243
b,49,149,210
b,24,124,185
b,2,142,212
b,22,162,232
b,12,177,252
b,13,178,253
b,4,184,249
b,6,193,254
b,6,193,254
b,7,197,250
b,5,195,248
b,11,189,251
b,8,186,248
b,25,161,218
b,46,119,153
b,42,115,149
b,6,123,167
b,6,123,167
b,1,140,201
b,3,143,213
b,6,146,216
b,5,148,228
b,10,153,233
b,9,158,241
b,10,159,242
b,33,157,228
b,55,179,250
b,46,122,166
b,14,131,188
b,30,147,204
b,5,162,244
b,7,164,246
b,3,172,248
b,9,178,254
b,4,183,253
b,5,184,254
b,3,195,252
b,1,193,250
b,1,190,250
b,10,178,243
b,28,143,199
b,55,101,123
b,14,117,156
b,17,120,159
b,3,147,224
b,7,153,237
b,12,158,242
b,23,152,221
b,54,183,252
b,83,179,225
b,23,119,165
b,31,119,159
b,8,144,222
b,27,163,241
b,4,164,252
b,2,171,254
b,2,186,254
b,3,192,254
b,1,193,252
b,5,188,252
b,12,161,228
b,11,160,227
b,39,108,139
b,41,110,141
b,9,156,237
b,33,162,229
b,71,175,228
b,44,103,139
b,16,127,184
b,23,134,191
b,5,149,240
b,11,155,246
b,4,160,253
b,3,159,252
b,2,175,254
b,1,189,254
b,3,187,253
b,4,174,247
b,33,145,197
b,24,113,150
b,24,113,150
b,2,145,225
b,6,149,229
b,26,155,224
b,83,197,248
b,66,145,188
b,44,116,143
b,7,131,204
b,21,145,218
b,5,145,247
b,7,147,249
b,13,154,221
b,17,158,225
b,58,100,126
b,9,112,154
b,13,116,158
b,23,155,223
b,75,166,207
b,36,127,168
b,24,119,157
b,2,132,214
b,1,140,247
b,5,144,251
b,3,161,236
b,3,161,236
b,42,105,135
b,3,122,163
b,13,146,218
b,71,174,213
b,36,139,178
b,12,122,170
b,14,124,172
b,1,130,215
b,4,133,218
b,2,139,245
b,6,143,249
b,27,141,202
b,29,107,139
b,31,109,141
b,6,139,213
b,73,186,231
b,31,144,189
b,57,121,153
b,46,101,118
b,3,118,176
b,9,124,182
b,2,130,220
b,4,139,241
b,1,147,252
b,13,142,213
b,14,106,140
b,19,111,145
b,24,157,229
b,61,185,242
b,15,139,196
b,50,128,162
b,39,99,126
b,8,122,187
b,10,124,189
b,4,133,229
b,5,144,249
b,6,145,250
b,16,148,225
b,4,136,213
b,58,92,114
b,17,109,148
b,17,109,148
b,27,162,236
b,31,165,232
b,1,135,202
b,43,132,169
b,27,116,153
b,25,100,135
b,3,125,183
b,3,125,183
b,2,140,239
b,2,152,251
b,14,148,227
b,54,93,113
b,15,107,148
b,12,104,145
b,22,159,230
b,13,149,216
b,1,137,204
b,33,130,171
b,19,116,157
b,19,104,149
b,20,105,150
b,1,120,181
b,3,122,183
b,3,137,227
b,4,147,246
b,4,147,246
b,13,148,233
b,5,140,225
b,57,130,168
b,52,95,118
b,13,105,148
b,7,99,142
b,1,138,198
b,30,129,174
b,10,109,154
b,11,101,152
b,17,107,158
b,1,133,210
b,2,134,211
b,1,139,238
b,1,147,254
b,8,145,234
b,3,140,229
