Channel,Red,Green,Blue
x,95,111,119
x,97,113,121
x,97,113,121
x,99,115,123
x,99,112,121
x,97,110,119
x,100,113,122
x,99,112,121
x,98,111,120
x,99,112,121
x,99,112,121
x,99,112,121
x,99,112,121
x,98,111,120
x,95,111,119
x,97,113,121
x,95,111,119
x,95,111,119
x,96,112,120
x,97,113,121
x,95,111,119
x,95,111,119
x,92,108,116
x,93,109,117
x,95,108,117
x,98,111,120
x,97,110,119
x,97,110,119
x,98,111,120
x,95,108,117
x,94,107,116
x,97,110,119
x,97,110,119
x,99,112,121
x,95,108,117
x,97,110,119
x,92,108,118
x,92,108,118
x,92,108,118
x,93,109,119
x,92,108,118
x,92,108,118
x,91,107,117
x,91,107,117
x,92,108,118
x,93,109,119
x,92,108,116
x,92,108,116
x,94,107,116
x,93,106,115
x,93,106,115
x,93,106,115
x,93,106,115
x,92,105,114
x,93,104,113
x,93,104,113
x,93,104,113
x,94,105,114
x,93,104,113
x,92,103,112
x,93,104,113
x,94,105,114
x,93,104,113
x,94,105,114
x,90,103,112
x,92,105,114
x,92,105,114
x,92,105,114
x,93,106,117
x,92,105,116
x,91,107,115
x,90,106,114
x,89,105,113
x,89,105,113
x,88,104,114
x,88,104,114
x,88,104,114
x,89,105,115
x,89,105,115
x,88,104,114
x,89,105,113
x,89,105,113
x,89,105,113
x,88,104,112
x,88,104,112
x,89,105,113
x,88,104,112
x,86,102,110
x,88,104,112
x,89,105,113
x,86,102,110
x,88,104,112
x,86,102,110
x,84,100,108
x,86,102,110
x,88,104,112
x,85,101,109
x,85,101,109
x,85,101,109
x,85,101,109
x,84,100,108
x,86,102,110
x,86,102,110
x,84,100,108
x,86,99,108
x,85,98,107
x,86,99,108
x,87,100,109
x,87,100,109
x,85,98,107
x,85,98,107
x,84,97,106
x,83,99,107
x,83,99,107
x,83,100,105
x,82,99,104
x,83,102,106
x,81,100,104
x,80,99,103
x,80,99,103
x,81,100,104
x,81,100,104
x,83,100,105
x,82,99,104
x,81,98,103
x,82,99,104
x,82,99,104
x,81,98,103
x,81,95,101
x,83,97,103
x,83,97,103
x,84,98,104
x,81,95,101
x,83,97,103
x,78,95,100
x,78,95,100
x,78,95,100
x,79,96,101
x,79,96,101
x,79,96,101
x,81,95,101
x,80,94,100
x,80,94,100
x,80,94,100
x,79,93,99
x,79,93,99
x,80,94,100
x,79,93,99
x,81,93,99
x,79,91,97
x,79,91,97
x,96,112,122
x,96,112,122
x,96,112,120
x,97,113,121
x,98,111,120
x,95,108,117
x,99,112,121
x,99,112,121
x,99,112,121
x,99,112,121
x,99,112,121
x,98,111,120
x,99,112,121
x,97,110,119
x,97,110,119
x,98,111,120
x,93,109,117
x,93,109,117
x,93,109,117
x,96,112,120
x,93,109,117
x,95,111,119
x,93,109,117
x,93,109,117
x,97,110,119
x,97,110,119
x,97,110,119
x,97,110,119
x,95,108,117
x,93,106,115
x,94,107,116
x,97,110,119
x,97,110,119
x,99,112,121
x,94,107,116
x,94,107,116
x,91,107,117
x,92,108,118
x,91,107,117
x,91,107,117
x,92,108,118
x,91,107,117
x,89,105,115
x,89,105,115
x,90,106,116
x,93,109,119
x,92,108,116
x,92,108,116
x,89,105,113
x,90,106,114
x,90,106,114
x,90,106,114
x,91,104,113
x,91,104,113
x,93,104,113
x,93,104,113
x,94,105,114
x,93,104,113
x,93,104,113
x,95,106,115
x,94,105,114
x,94,105,114
x,93,104,113
x,94,105,114
x,91,104,113
x,88,101,110
x,91,104,113
x,91,104,113
x,92,105,114
x,90,103,112
x,91,104,113
x,90,103,112
x,88,104,112
x,89,105,113
x,88,104,112
x,88,104,112
x,88,104,114
x,86,102,112
x,88,104,114
x,88,104,114
x,86,102,110
x,86,102,110
x,88,104,112
x,88,104,112
x,85,101,109
x,86,102,110
x,86,102,110
x,86,102,110
x,88,104,112
x,86,102,110
x,84,100,108
x,88,104,112
x,85,101,109
x,84,100,108
x,85,101,109
x,85,101,109
x,84,100,108
x,84,100,108
x,84,100,108
x,84,100,108
x,83,99,107
x,84,100,108
x,84,100,108
x,83,99,107
x,84,100,108
x,82,98,106
x,83,100,105
x,84,101,106
x,85,101,109
x,82,98,106
x,82,98,106
x,83,99,107
x,84,101,106
x,83,100,105
x,82,99,104
x,81,98,103
x,83,102,106
x,81,100,104
x,78,97,101
x,80,99,103
x,82,99,104
x,82,99,104
x,82,99,104
x,81,98,103
x,79,96,101
x,79,96,101
x,84,98,104
x,81,95,101
x,80,94,100
x,81,95,101
x,81,95,101
x,83,97,103
x,80,94,100
x,83,97,103
x,80,94,100
x,80,94,100
x,78,95,100
x,78,95,100
x,79,96,101
x,79,96,101
x,81,95,101
x,81,95,101
x,79,93,99
x,78,92,98
x,80,94,100
x,79,93,99
x,81,95,101
x,79,93,99
x,78,92,98
x,77,91,97
x,77,91,97
x,97,110,119
x,97,110,119
x,97,110,119
x,97,110,119
x,95,108,117
x,95,108,117
x,97,110,119
x,97,110,119
x,95,108,117
x,97,110,119
x,98,112,118
x,97,111,117
x,98,112,118
x,97,111,117
x,94,108,114
x,95,109,115
x,97,110,119
x,97,110,119
x,95,108,117
x,95,108,117
x,94,107,116
x,98,111,120
x,97,110,119
x,95,108,117
x,94,107,116
x,94,107,116
x,95,108,117
x,95,108,117
x,94,107,118
x,94,107,118
x,95,108,117
x,95,108,117
x,97,110,119
x,97,110,119
x,94,107,116
x,95,108,117
x,93,106,117
x,92,105,116
x,91,104,115
x,91,104,115
x,92,105,116
x,93,106,117
x,92,105,116
x,92,105,116
x,91,104,115
x,94,107,118
x,95,108,119
x,94,107,118
x,88,104,112
x,90,106,114
x,89,105,113
x,90,106,114
x,91,104,113
x,91,104,113
x,91,104,113
x,90,103,112
x,93,104,113
x,94,105,114
x,93,104,113
x,93,104,113
x,93,104,113
x,93,104,113
x,93,104,113
x,93,104,113
x,93,104,113
x,92,103,112
x,92,105,114
x,90,103,112
x,88,101,110
x,88,101,110
x,87,100,109
x,87,100,109
x,90,103,112
x,91,104,113
x,88,101,110
x,88,101,110
x,85,101,111
x,88,104,114
x,85,101,109
x,85,101,109
x,85,101,109
x,85,101,109
x,85,101,109
x,85,101,109
