Channel,Red,Green,Blue
g,120,147,123
g,133,164,138
g,138,172,146
g,142,180,154
g,141,181,156
g,138,179,156
g,142,184,160
g,134,178,154
g,125,172,147
g,128,178,152
g,126,180,152
g,123,180,151
g,131,175,148
g,140,176,151
g,146,181,156
g,153,185,164
g,159,189,171
g,175,205,187
g,129,137,120
g,129,151,129
g,126,165,139
g,119,183,149
g,115,185,148
g,109,183,145
g,102,179,143
g,97,177,141
g,92,174,137
g,87,172,134
g,81,168,129
g,75,163,124
g,74,165,125
g,73,165,125
g,71,165,124
g,75,161,123
g,82,161,124
g,91,162,127
g,110,169,140
g,122,169,147
g,138,177,159
g,153,186,173
g,171,199,191
g,195,222,215
g,127,136,120
g,132,155,135
g,129,168,143
g,122,172,144
g,112,176,144
g,95,178,141
g,86,176,135
g,78,171,129
g,73,169,128
g,70,168,127
g,67,169,127
g,60,168,123
g,58,168,123
g,58,167,123
g,57,167,122
g,56,166,121
g,56,165,120
g,58,164,120
g,60,162,119
g,62,158,116
g,70,158,121
g,77,157,125
g,84,158,129
g,96,163,137
g,113,173,151
g,137,191,173
g,163,209,194
g,194,231,221
g,133,152,133
g,131,167,143
g,121,174,146
g,104,174,142
g,93,171,136
g,86,172,135
g,74,172,131
g,67,170,127
g,62,168,124
g,58,167,123
g,54,166,121
g,51,167,121
g,45,170,121
g,44,170,120
g,45,170,120
g,47,169,121
g,48,168,121
g,48,167,120
g,49,166,119
g,49,166,119
g,48,163,115
g,50,162,117
g,52,161,119
g,54,160,119
g,57,156,119
g,67,158,124
g,83,163,133
g,104,170,146
g,133,186,166
g,168,211,195
g,118,137,117
g,128,161,137
g,124,173,145
g,102,170,137
g,83,167,129
g,71,168,128
g,70,169,128
g,69,172,129
g,62,170,125
g,56,169,122
g,53,168,120
g,50,169,120
g,47,169,119
g,44,171,119
g,37,174,119
g,37,175,120
g,40,173,120
g,42,171,120
g,44,170,121
g,44,169,120
g,44,169,119
g,44,169,118
g,41,166,115
g,41,164,114
g,42,162,113
g,42,161,113
g,44,157,112
g,48,154,112
g,56,154,115
g,65,152,117
g,82,158,127
g,95,163,134
g,140,188,173
g,195,220,222
g,60,122,97
g,62,124,99
g,56,130,101
g,56,130,101
g,55,128,103
g,57,130,105
g,68,132,112
g,123,153,129
g,122,169,141
g,106,169,136
g,89,169,132
g,74,166,126
g,59,163,119
g,49,164,117
g,48,167,119
g,49,168,120
g,49,168,119
g,48,168,119
g,47,169,119
g,46,170,120
g,44,170,120
g,43,172,120
g,39,174,120
g,38,175,121
g,40,174,121
g,41,173,121
g,41,172,121
g,41,171,120
g,40,171,119
g,39,171,117
g,36,167,114
g,34,165,112
g,33,162,110
g,32,160,108
g,34,157,107
g,38,157,109
g,42,156,110
g,46,153,109
g,54,154,112
g,58,152,113
g,83,155,129
g,124,168,160
g,164,198,199
g,72,110,93
g,46,118,90
g,37,109,81
g,27,124,91
g,31,128,95
g,26,130,99
g,26,130,99
g,22,124,96
g,33,135,107
g,48,138,118
g,59,149,129
g,67,143,131
g,66,142,130
g,136,165,141
g,119,170,139
g,90,166,130
g,75,167,127
g,65,169,125
g,57,167,121
g,49,166,118
g,41,167,115
g,37,170,116
g,37,170,116
g,42,168,116
g,42,169,117
g,42,169,118
g,44,170,120
g,44,171,121
g,44,172,122
g,43,173,122
g,43,173,122
g,43,173,123
g,42,174,123
g,42,174,123
g,41,174,123
g,40,174,121
g,37,172,118
g,32,168,113
g,30,166,111
g,28,163,108
g,25,159,105
g,26,158,105
g,30,159,106
g,32,159,107
g,35,158,108
g,37,157,108
g,36,153,106
g,49,145,109
g,78,146,125
g,110,162,149
g,144,183,177
g,69,102,87
g,42,113,89
g,41,112,88
g,14,114,80
g,17,117,83
g,10,124,92
g,12,126,94
g,7,127,97
g,10,130,100
g,11,128,104
g,18,135,111
g,51,155,138
g,60,164,147
g,69,169,155
g,69,169,155
g,81,164,151
g,66,149,136
g,144,176,151
g,118,170,139
g,88,166,126
g,67,168,124
g,63,173,127
g,57,167,121
g,50,165,117
g,43,164,114
g,39,167,115
g,37,170,116
g,37,172,117
g,42,171,118
g,43,171,119
g,44,172,120
g,45,170,121
g,46,170,121
g,46,171,122
g,47,171,122
g,47,172,123
g,48,174,124
g,49,175,126
g,49,175,126
g,48,176,126
g,45,174,123
g,39,170,119
g,34,167,115
g,31,164,111
g,28,163,108
g,22,159,104
g,21,157,102
g,24,158,103
g,25,157,104
g,23,151,99
g,21,146,95
g,29,150,100
g,41,150,107
g,53,146,112
g,56,144,115
g,73,150,127
g,117,177,163
g,50,107,84
g,45,102,79
g,16,113,80
g,16,113,80
g,2,114,78
g,6,118,82
g,3,121,92
g,5,123,94
g,5,127,101
g,4,126,100
g,4,122,102
g,20,138,118
g,62,174,158
g,61,173,157
g,70,178,168
g,64,172,162
g,65,169,152
g,68,172,155
g,82,154,140
g,129,168,140
g,118,173,141
g,90,167,128
g,71,171,125
g,54,172,122
g,42,166,115
g,48,167,118
g,44,166,115
g,39,165,113
g,36,166,113
g,33,167,113
g,33,167,113
g,44,176,122
g,44,174,121
g,42,170,118
g,45,169,120
g,50,171,123
g,52,172,125
g,56,174,127
g,54,171,125
g,55,173,127
g,60,178,131
g,59,177,130
g,56,176,129
g,51,174,126
g,43,170,120
g,35,166,115
g,28,163,110
g,25,164,108
g,18,160,103
g,15,157,100
g,16,158,100
g,17,157,100
g,19,155,99
