Channel,Red,Green,Blue
m,66,73,77
m,68,73,80
m,72,77,84
m,79,84,91
m,77,82,89
m,77,82,89
m,77,82,89
m,72,77,84
m,88,94,107
m,84,92,109
m,82,90,107
m,81,88,110
m,81,88,110
m,82,89,111
m,81,88,110
m,67,77,84
m,67,78,89
m,72,83,94
m,74,84,98
m,78,88,102
m,81,89,104
m,81,89,104
m,81,89,106
m,81,89,106
m,81,89,106
m,82,90,107
m,77,86,98
m,79,84,100
m,82,87,103
m,82,89,111
m,84,91,113
m,85,94,117
m,82,91,114
m,76,86,114
m,77,87,115
m,72,82,112
m,73,83,113
m,77,87,117
m,77,87,117
m,78,87,110
m,62,72,79
m,67,77,95
m,71,81,99
m,69,80,103
m,71,82,105
m,73,84,107
m,73,84,107
m,76,85,108
m,78,87,110
m,77,88,111
m,77,88,111
m,78,89,112
m,80,91,114
m,83,92,113
m,85,94,115
m,84,93,105
m,77,82,98
m,77,82,98
m,75,84,105
m,76,85,106
m,78,88,114
m,80,90,116
m,83,93,121
m,77,87,115
m,59,69,99
m,57,67,97
m,55,67,99
m,65,77,109
m,68,80,114
m,67,79,113
m,69,82,111
m,72,85,114
m,82,92,110
m,62,70,87
m,67,75,92
m,64,78,100
m,67,81,103
m,69,84,110
m,69,84,110
m,72,85,112
m,71,84,111
m,72,85,114
m,72,85,114
m,74,87,114
m,74,87,114
m,75,88,115
m,75,88,115
m,75,88,113
m,76,89,114
m,77,88,111
m,77,88,111
m,75,79,93
m,70,77,99
m,73,80,102
m,72,82,108
m,74,84,110
m,77,90,117
m,76,89,116
m,78,91,118
m,76,89,116
m,63,76,105
m,50,63,92
m,42,56,87
m,41,55,86
m,45,59,92
m,51,65,98
m,57,69,101
m,68,80,112
m,80,90,116
m,81,91,117
m,58,68,75
m,61,72,95
m,65,76,99
m,63,78,104
m,64,79,105
m,66,84,111
m,67,85,112
m,69,86,116
m,71,88,118
m,73,87,118
m,71,85,116
m,75,87,119
m,76,88,120
m,78,91,120
m,76,89,118
m,78,88,118
m,77,87,117
m,78,88,116
m,76,86,114
m,81,88,110
m,68,75,83
m,70,75,95
m,72,77,97
m,68,76,102
m,72,80,106
m,72,82,112
m,74,84,114
m,76,91,119
m,74,89,117
m,75,89,120
