Channel,Red,Green,Blue
r,169,135,125
r,169,135,125
r,180,134,128
r,183,137,131
r,182,134,130
r,179,131,127
r,172,126,122
r,188,132,116
r,190,134,118
r,210,130,108
r,211,131,109
r,228,140,132
r,227,139,131
r,224,137,135
r,219,132,130
r,218,137,136
r,206,125,124
r,183,134,122
r,202,146,134
r,205,149,137
r,232,139,126
r,231,138,125
r,240,144,116
r,239,143,115
r,243,146,136
r,248,151,141
r,249,150,150
r,238,139,139
r,241,137,139
r,234,130,132
r,214,127,125
r,204,117,115
r,184,139,126
r,191,145,137
r,222,135,129
r,227,140,134
r,236,142,134
r,243,149,141
r,247,154,139
r,241,148,133
r,253,156,146
r,247,143,143
r,253,142,144
r,241,129,129
r,239,127,127
r,213,131,119
r,214,132,120
r,215,146,141
r,213,144,139
r,228,133,127
r,246,151,145
r,253,172,173
r,253,153,149
r,243,125,125
r,249,126,125
r,246,123,122
r,237,127,115
r,244,134,122
r,206,147,129
r,199,153,145
r,233,137,134
r,230,134,131
r,233,124,118
r,246,126,127
r,237,117,118
r,245,112,112
r,251,118,118
r,250,121,122
r,250,121,122
r,247,121,121
r,248,122,122
r,244,119,110
r,251,126,117
r,220,139,117
r,220,139,117
r,202,146,134
r,237,118,116
r,235,116,114
r,249,118,116
r,247,124,132
r,245,102,108
r,243,100,106
r,249,103,108
r,251,105,110
r,250,117,127
r,238,121,134
r,238,110,104
r,246,118,112
r,233,127,110
r,235,129,112
r,224,153,144
r,198,127,118
r,240,105,104
r,237,102,101
r,246,100,96
r,250,104,100
r,252,106,109
r,251,105,108
r,249,105,116
r,249,105,116
r,245,90,100
r,246,91,101
r,250,95,103
r,253,98,106
r,254,117,128
r,240,106,113
r,243,109,116
r,241,117,103
r,242,118,104
r,208,150,123
r,218,134,129
r,202,118,113
r,244,102,101
r,240,98,97
r,249,98,91
r,250,99,92
r,252,103,100
r,249,100,97
r,249,99,105
r,247,97,103
r,250,95,105
r,248,93,103
r,250,95,103
r,250,95,103
r,247,99,109
r,246,101,115
r,243,98,112
r,236,100,90
r,240,104,94
r,217,143,119
r,214,166,158
r,197,104,107
r,196,103,106
r,231,91,89
r,229,89,87
r,240,95,88
r,241,96,89
r,232,86,82
r,240,94,90
r,242,96,96
r,243,97,97
r,241,91,99
r,241,91,99
r,240,86,98
r,243,89,101
r,233,85,95
r,242,94,104
r,247,98,113
r,253,104,119
r,242,87,104
r,230,75,92
r,224,84,82
r,234,94,92
r,209,128,109
r,224,143,124
r,204,151,147
r,197,96,99
r,194,93,96
r,216,85,83
r,217,86,84
r,223,85,85
r,222,84,84
r,223,85,87
r,223,85,87
r,225,82,88
r,228,85,91
r,230,86,97
r,231,87,98
r,228,80,95
r,226,78,93
r,221,74,86
r,227,80,92
r,230,83,95
r,245,98,110
r,241,90,103
r,228,77,90
r,215,77,77
r,221,83,83
r,201,114,99
r,227,140,125
r,174,120,112
r,193,92,93
r,190,89,90
r,205,82,81
r,203,80,79
r,206,76,82
r,210,80,86
r,209,78,87
r,213,82,91
r,219,84,96
r,219,84,96
r,217,82,96
r,216,81,95
r,223,83,95
r,212,72,84
r,210,66,75
r,215,71,80
r,230,83,93
r,228,81,91
r,225,78,88
r,221,74,84
r,213,78,77
r,218,83,82
r,194,100,89
r,232,138,127
r,155,105,98
r,169,81,84
r,173,85,88
r,190,77,84
r,187,74,81
r,194,74,86
r,194,74,86
r,195,75,89
r,197,77,91
r,202,77,95
r,196,71,89
r,200,68,84
r,194,62,78
r,199,64,76
r,192,57,69
r,209,65,74
r,212,68,77
r,214,71,75
r,215,72,76
r,212,70,69
r,201,59,58
r,205,72,70
r,203,70,68
r,189,87,77
r,231,129,119
r,181,75,87
r,183,74,89
r,183,74,89
r,177,62,81
r,179,64,83
r,182,60,75
r,184,62,77
r,186,55,64
r,184,53,62
r,197,59,61
r,193,55,57
r,198,56,53
r,203,61,58
r,203,62,54
r,200,59,51
r,193,62,60
r,196,65,63
r,179,82,72
r,219,122,112
r,169,72,81
r,169,71,80
r,171,73,82
r,166,57,74
r,172,63,80
r,176,60,68
r,176,60,68
r,177,55,58
r,174,52,55
r,188,57,59
r,182,51,53
r,190,56,50
r,192,58,52
r,193,59,51
r,192,58,50
r,187,66,64
r,184,63,61
r,173,82,75
r,211,120,113
r,157,67,80
r,161,65,71
r,162,66,72
r,161,55,67
r,166,60,72
r,166,56,53
r,168,58,55
r,172,53,51
r,170,51,49
r,172,50,51
r,172,50,51
r,178,52,52
r,178,52,52
r,180,54,52
r,183,57,55
r,178,67,69
r,168,57,59
r,165,81,74
r,213,129,122
r,140,68,84
r,156,61,62
r,155,60,61
r,161,54,57
r,161,54,57
r,160,50,38
r,159,49,37
r,164,47,40
r,166,49,42
r,170,53,50
r,167,50,47
r,170,52,52
r,169,51,51
r,170,55,54
r,175,60,59
r,153,44,50
r,151,42,48
r,157,80,73
r,123,70,94
r,147,51,52
r,149,53,54
r,159,50,42
r,157,48,40
r,152,42,26
r,158,48,32
r,156,43,30
r,158,45,32
r,164,50,42
r,164,50,42
r,165,51,47
r,165,51,47
r,163,55,54
r,164,56,55
r,136,35,38
r,146,45,48
r,152,91,85
r,99,64,91
r,140,48,46
r,139,47,45
r,153,44,23
r,151,42,21
r,152,40,20
r,156,44,24
r,155,45,33
r,152,42,30
r,157,48,38
r,158,49,39
r,159,50,40
r,164,55,45
r,161,55,53
r,155,49,47
r,135,39,40
r,154,58,59
r,90,64,93
r,135,51,46
r,133,49,44
r,146,43,20
r,144,41,18
r,147,38,19
r,147,38,19
r,147,38,32
r,146,37,31
r,151,43,40
r,149,41,38
r,155,48,42
r,160,53,47
r,159,56,51
r,160,57,52
r,150,62,65
r,178,90,93
r,87,63,89
r,129,53,50
r,128,52,49
r,137,44,24
r,139,46,26
r,144,42,30
r,140,38,26
r,142,39,36
r,141,38,35
r,142,38,40
r,144,40,42
r,148,45,42
r,155,52,49
r,166,63,58
r,174,71,66
r,165,89,86
r,87,62,84
r,124,54,58
r,123,53,57
r,131,48,36
r,132,49,37
r,139,45,37
r,136,42,34
r,141,45,42
r,139,43,40
r,139,42,46
r,140,43,47
r,146,45,44
r,147,46,45
r,161,66,60
r,170,75,69
r,84,67,81
r,119,58,61
r,118,57,60
r,126,51,45
r,126,51,45
r,133,49,44
r,133,49,44
r,135,48,46
r,133,46,44
r,134,43,50
r,134,43,50
r,143,47,53
r,150,54,60
r,153,80,76
r,107,65,64
r,111,69,68
r,115,55,51
r,120,60,56
r,123,53,53
r,126,56,56
r,124,50,51
r,124,50,51
r,127,54,59
r,128,55,60
r,131,67,76
r,115,79,79
r,113,77,77
r,121,79,78
r,131,89,88
r,117,72,75
r,133,88,91
r,131,97,105
r,134,30,32
