Channel,Red,Green,Blue
y,129,115,69
y,145,131,85
y,150,136,80
y,149,135,79
y,155,133,78
y,158,136,81
y,154,130,87
y,141,117,74
y,43,47,40
y,110,102,76
y,142,127,76
y,155,140,89
y,163,141,75
y,162,140,74
y,164,136,65
y,164,136,65
y,170,135,62
y,177,142,69
y,177,141,75
y,177,141,75
y,165,138,87
y,160,133,82
y,131,116,77
y,33,41,40
y,78,97,87
y,95,97,88
y,73,75,66
y,97,90,71
y,131,115,69
y,147,131,85
y,153,128,61
y,161,136,69
y,165,136,56
y,165,136,56
y,165,131,51
y,163,129,49
y,169,129,46
y,173,133,50
y,176,134,54
y,172,130,50
y,171,133,65
y,170,132,64
y,162,135,80
y,155,128,73
y,128,111,74
y,74,72,64
y,90,92,74
y,88,90,72
y,88,91,68
y,88,91,68
y,86,89,71
y,86,89,71
y,50,53,52
y,94,97,96
y,96,98,89
y,89,91,82
y,76,98,82
y,81,96,78
y,83,98,80
y,90,93,72
y,81,84,63
y,70,65,47
y,171,118,4
y,168,118,3
y,104,88,54
y,134,118,84
y,153,128,65
y,154,129,66
y,161,132,52
y,163,134,54
y,168,135,50
y,165,132,47
y,166,129,43
y,164,127,41
y,162,123,35
y,161,122,34
y,155,114,27
y,153,112,25
y,157,117,36
y,168,128,47
y,163,131,59
y,170,138,66
y,162,139,89
y,136,113,63
y,40,36,29
y,65,61,54
y,92,89,73
y,93,90,74
y,97,96,70
y,100,99,73
y,99,98,70
y,100,99,71
y,99,99,75
y,90,90,66
y,94,96,78
y,95,97,79
y,82,82,62
y,1,2,2
y,60,65,70
y,92,89,84
y,98,95,90
y,101,100,83
y,100,99,82
y,100,100,69
y,100,100,69
y,91,105,83
y,90,104,82
y,94,108,86
y,99,109,82
y,93,103,76
y,105,106,77
y,104,105,76
y,104,103,77
y,99,98,72
y,160,122,21
y,154,115,12
y,152,114,13
y,100,89,64
y,131,109,56
y,146,124,71
y,154,124,51
y,158,128,55
y,166,133,50
y,170,137,54
y,173,139,49
y,172,138,48
y,171,135,44
y,171,135,44
y,168,129,41
y,167,128,40
y,161,122,34
y,161,122,34
y,169,128,41
y,176,135,48
y,173,138,55
y,171,136,53
y,166,137,71
y,168,139,73
y,129,114,73
y,39,36,31
y,75,72,67
y,84,82,63
y,86,84,65
y,91,89,66
y,93,91,68
y,96,93,63
y,99,96,66
y,90,88,51
y,93,91,54
y,92,89,57
y,96,93,61
y,93,91,68
y,98,96,73
y,101,96,78
y,81,76,58
y,74,77,56
y,1,1,2
y,1,1,2
y,41,41,41
y,89,89,89
y,99,93,80
y,100,94,81
y,104,99,77
y,104,99,77
y,101,102,64
y,106,107,69
y,106,108,65
